Company_name,Job_title,Job_location,Date,Test_link
Replicon,Software Engineer Trainee,Bangalore ('Selected candidates should be willing to relocate to Bangalore immediately.'),2021-02-01 20:00:00 - 2021-02-08 20:00:00,https://mymapit.in/#/publicview/test/candidate/token/KBiSJEcp
MyAnatomy,Full Stack Developer,Bangalore,2019-09-25 20:00:00 - 2021-10-25 23:00:00,https://mymapit.in/code4/tiny/x9eYuv
MyAnatomy,Intern - Research Analyst,Work from Home for initial 6 months. Post internship you will be working from MyAnatomy’s office in Bangalore location.,2019-08-25 15:17:00 - 2021-08-31 23:00:00,https://app.mymapit.in/code4/tiny/kGZhKX
MyAnatomy,Technical Intern,Bangalore,2019-09-25 20:00:00 - 2021-10-25 23:00:00,https://mymapit.in/#/publicview/test/candidate/token/rPcKspGL
MyAnatomy,Intern - Campus Relationship Team,Work from Home for initial 6 months. Post internship you will be working from MyAnatomy’s office in Bangalore location.,2019-08-25 15:17:00 - 2021-08-31 23:00:00,https://app.mymapit.in/code4/tiny/kGZhKX
